name_en,frequency,suggested_family
pharaone,2,other
methyl pamplemousse,2,other
kumquat zest,2,other
mediterranean woods,2,woody
mediterranean neroli,2,citrus
cinnamon sugar,2,spicy
goldenrod,2,other
nutella,2,gourmand
lemon myrtle,2,citrus
aniseed flower,2,floral
apple candy,2,fruity
black pepper orpur,2,spicy
incense stick,2,balsamic
lilac wood,2,woody
fried dough,2,other
iris germanica,2,floral
jelly bean,2,other
green bourbon vanilla,2,gourmand
exotic citrus fruits,2,citrus
tequila sunrise,2,other
green guava,2,fruity
snake leather,2,leather
terracotta,2,other
tayberry,2,fruity
ox-eye daisy,2,other
rondeletia,2,other
iris powder,2,floral
syrup,2,other
vinylguaiacol,2,other
raspberry macaron,2,fruity
pearadise,2,fruity
adrenalin,2,other
coriander seed orpur,2,spicy
uruguayan vetiver,2,woody
grapefruit juice,2,citrus
pink tulip,2,other
peony bud,2,floral
caramelized pear,2,fruity
cassia blossom,2,white_floral
embers,2,other
panettone,2,other
californian lilac,2,other
pinot noir wine,2,boozy
pu-erh tea,2,tea
cyclamen leaf,2,green
strawberry guava,2,fruity
chocolate biscuit,2,gourmand
jordan myrrh,2,balsamic
nicotiana alata,2,other
fruit punch,2,fruity
mushroom,2,earthy
pink champaca,2,other
water pepper,2,spicy
2-methylundecanal,2,other
pierre de ronsard rose,2,floral
royal princess rose,2,floral
grapefruit wood,2,woody
apple jam,2,fruity
strawberry jam,2,fruity
apricot puree,2,fruity
narcissus absolute orpur,2,floral
dynamone,2,other
omanian ambergris,2,balsamic
blackthorn,2,other
orange brandy,2,boozy
polynesian ylang-ylang,2,other
nashi pear blossom,2,white_floral
mandarine sorbet,2,citrus
heroin,2,other
nuoc cham,2,other
white flowers,2,white_floral
blue blossoms,2,white_floral
wine must,2,boozy
cristalfizz,2,other
black salt,2,aquatic
campfire,2,other
belambre,2,other
lettuce,2,other
mineral salt,2,aquatic
argentinean grapefruit,2,citrus
beetroot,2,other
white wine,2,boozy
clementine peel,2,other
white apricot,2,fruity
white dahlia,2,other
green apple sorbet,2,fruity
musk gazelle,2,musk
pineapple creme,2,woody
choya loban,2,other
kiwi blossom,2,white_floral
chili leaf,2,green
south italian bergamot,2,citrus
white nougat,2,other
chervil,2,other
apricot kernel,2,fruity
tasmanian boronia,2,other
vanuatu sandalwood,2,woody
northern red oak,2,other
coconut rum,2,boozy
tonka bean orpur,2,gourmand
apple liqueur,2,boozy
hard cider,2,other
milkshake,2,gourmand
kulfi,2,other
strawberry meringue,2,fruity
anethol,2,other
sycamore maple,2,other
soursop,2,other
eritrean incense,2,balsamic
american tobacco,2,tobacco
cistus creticus,2,other
apple brandy,2,boozy
kyara oud,2,woody
provençal sage,2,herbal
coffee berry,2,fruity
roasted pecan,2,other
avocado,2,other
pepper fusion,2,spicy
ginseng tea,2,tea
tyrolean oakmoss,2,earthy
ethyl maltol,2,other
wood lacquer,2,woody
provençal lavender orpur,2,floral
american apple,2,fruity
american magnolia,2,white_floral
blackberry bud,2,fruity
flores patchouli,2,woody
star magnolia,2,white_floral
plum liqueur,2,boozy
blue sequoia,2,other
roasted venezuelan tonka bean,2,gourmand
candied citrus fruits,2,citrus
lime wood,2,woody
eucalyptus tree,2,herbal
peach melba,2,fruity
mandarin orange orpur,2,citrus
velvione,2,other
verdello lemon,2,citrus
lavender water,2,floral
calypso orchid,2,white_floral
pink oleander,1,other
perique tobacco,1,tobacco
forest lilac,1,other
californian gardenia,1,white_floral
candied bitter orange peel,1,citrus
rose day,1,floral
iris nectar,1,floral
fig honey,1,fruity
black iris barbata,1,floral
cypress resin,1,woody
sweet william,1,other
hawaiian pineapple,1,woody
bat flower,1,floral
fig tree sap,1,fruity
purple hyacinth,1,floral
gianduia chocolate,1,gourmand
violet candy,1,floral
chlorophyll,1,other
gamma octalactone,1,other
peach lactone,1,fruity
rimu,1,other
mandarin orange liqueur,1,boozy
rice water,1,gourmand
lava,1,other
peach prosecco,1,floral
fossilized wood,1,woody
plum jam,1,fruity
somalian benzoin,1,balsamic
black olive,1,other
croatian clementine,1,other
guaiacol,1,other
american oak wood,1,woody
jordan patchouli,1,woody
burnet rose,1,floral
scottish hawthorn,1,other
red clover,1,spicy
mountain pepper,1,spicy
forest moss,1,earthy
lesser calamint,1,herbal
diamond jubilee apple,1,fruity
sawdust,1,other
north african orange blossom,1,white_floral
bermuda juniper,1,other
black oxford apple,1,fruity
dominican vanilla,1,gourmand
zinfandel grape liqueur,1,boozy
eastern arborvitae,1,other
naranjilla,1,other
margarita,1,other
phlox,1,other
christ's thorn jujube,1,other
red blossoms,1,white_floral
mozambican ambergris,1,balsamic
dwarf pine,1,woody
bhutanese oud,1,woody
ginger water,1,boozy
fabric,1,other
cinnamon biscuit,1,spicy
callitris,1,other
green currant,1,fruity
toadstool,1,other
lavender bud,1,floral
afghan herbs,1,herbal
sawara cypress,1,woody
tasmanian sandalwood,1,woody
silver fir cone,1,other
pipe tobacco smoke,1,tobacco
bourbon geranium leaf,1,floral
medlar leaf,1,green
wattleseed,1,other
chardonnay,1,other
hickory wood,1,woody
smoked grapefruit,1,citrus
balkans sage,1,herbal
baked pear,1,fruity
south american arabica coffee,1,gourmand
south american pink pepper,1,spicy
jujube,1,other
androstenol,1,other
cornflower water,1,floral
mandarine petitgrain,1,citrus
jasmine honey,1,white_floral
candied blossoms,1,white_floral
creeping thistle,1,other
vanilla tobacco,1,tobacco
bladderwrack,1,other
symmarine,1,aquatic
bluegrass,1,green
bergamot peel,1,citrus
yemenite honey,1,gourmand
barenia leather,1,leather
boisiris,1,floral
bermuda sweet pea,1,other
bitter,1,other
moonshine whiskey,1,other
south african buchu,1,other
pink hawthorn,1,other
yellow melon,1,fruity
concord grape,1,fruity
tiger liana,1,other
cheese,1,other
poppy bud,1,other
candied date,1,other
lime water,1,citrus
caipirinha lemon,1,citrus
dough,1,other
tamil nadu sandalwood,1,woody
asian patchouli,1,woody
pittosporum leaf,1,boozy
ginger syrup,1,boozy
cream soda,1,gourmand
charred fennel,1,other
violet bud,1,floral
orange blossom orpur,1,white_floral
ylang-ylang orpur,1,other
candied strawberry,1,fruity
cherry candy,1,fruity
mediterranean plants,1,other
green citrus zest,1,citrus
natal plum blossom,1,white_floral
stemone,1,green
dong quai,1,other
charred oak,1,other
citrus bizzarria,1,citrus
oud maleki,1,woody
africa wenge wood,1,woody
victoria amazonica,1,other
shoe polish,1,other
jelly,1,other
balm,1,other
black sugar,1,gourmand
blackberry sorbet,1,fruity
american orange,1,citrus
walnut shell,1,gourmand
itaúba wood,1,woody
apple compote,1,fruity
strawberry liqueur,1,boozy
vallaris solanacea,1,other
sri-lankan davana,1,other
new guinean cypriol,1,other
smoked prickly cedar,1,woody
casuarina wood,1,woody
herbal tea,1,tea
pepper seed,1,spicy
juniper liqueur,1,boozy
jasmolactone,1,other
goldenwood,1,woody
michelia dianica,1,other
hop blossom,1,white_floral
croatian oak moss,1,earthy
walnut milk,1,gourmand
seillans lavender,1,floral
arbutus blossom,1,white_floral
burnt,1,other
verbenolide,1,other
dune flower,1,floral
blackberry jam,1,fruity
kunzea,1,other
pear skin,1,fruity
amylsalicylate,1,other
roasted,1,other
vanilla butter cream,1,gourmand
vanilla pudding,1,gourmand
almond toffee,1,gourmand
black sage,1,herbal
jasmine jam,1,white_floral
citrus blossom honey,1,white_floral
peach wood,1,woody
limoncello sorbet,1,other
white cocoa,1,gourmand
strawberry cotton candy,1,fruity
wacapou scenttrek,1,other
italien cedrat orpur,1,other
chocolate marshmallow,1,gourmand
gurjum wood,1,woody
israelian galbanum,1,green
gentian root,1,other
honeysuckle leaf,1,gourmand
tokaji wine,1,boozy
californian incense cedar,1,woody
citron sorbet,1,citrus
roasted macadamia,1,other
nectarine sorbet,1,tobacco
guatemala coffee bean,1,gourmand
red freesia,1,white_floral
hydrogen,1,other
black magnolia,1,white_floral
hongkong oud,1,woody
elfwort,1,other
sri-lankan blue lotus,1,other
neofolione,1,other
borage,1,other
florida tangerine,1,other
green pomelo,1,green
redcurrant leaf,1,fruity
green iced tea,1,tea
lime mojito,1,citrus
el salvadorian ambrette seed,1,other
salted fig,1,fruity
laurel wood,1,woody
green coffee,1,gourmand
eucalyptol,1,other
bourbon coffee,1,gourmand
ginger orpur,1,boozy
maple water,1,aquatic
deerskin,1,animalic
magnolia sprig,1,white_floral
magnolia wood,1,woody
sodium,1,other
green rhubarb,1,green
candied lavender,1,floral
south african pink pepper,1,spicy
mineral water,1,aquatic
philippine oud,1,woody
serbian immortelle,1,other
pomelo,1,citrus
winter jasmine,1,white_floral
jasmine sambac orpur,1,white_floral
american beaver tail,1,other
american castoreum,1,animalic
american lotus,1,other
magnolia pollen,1,white_floral
baby powder,1,powdery
jasmine milk,1,white_floral
diviniris,1,floral
mimosa bark,1,floral
dandelion leaf,1,green
tomato vine,1,other
snapdragon,1,other
green apricot,1,fruity
lipgloss,1,other
vanilla orchid leaf,1,white_floral
herb liqueur,1,boozy
apricot sorbet,1,fruity
candied apple sorbet,1,fruity
pine bark,1,woody
high altitude lavender,1,floral
tachibana orange blossom,1,white_floral
single malt whisky,1,boozy
rice milk,1,gourmand
caramelized strawberry,1,fruity
cyclamen aldehyde,1,aldehydic
terranol,1,other
pink tuberose,1,white_floral
carolina jasmine,1,white_floral
yellow magnolia,1,white_floral
saint john's wort,1,other
red musk,1,musk
american gaiac wood,1,woody
mandarin orange wood,1,woody
green lemon zest,1,citrus
peanut butter,1,gourmand
artichoke,1,other
tulip tree wood,1,woody
caffè macchiato,1,other
sulfurol,1,other
rose jelly,1,floral
burgundy wine,1,boozy
orange jam,1,citrus
sage tea,1,tea
provençal rosemary,1,floral
osmanthus tea,1,tea
gladiolus,1,other
rose absolute orpur,1,floral
benzoin orpur,1,balsamic
pekoe tea,1,tea
fiji orange,1,citrus
fruit nectar,1,fruity
sour cream,1,gourmand
valentine pomelo,1,other
lebanese grapefruit,1,citrus
soapy,1,other
weathered wood,1,woody
tea bush wood,1,woody
cupuaçu,1,other
raspberry cream,1,fruity
pear compote,1,fruity
red poppy,1,other
lebanese iris,1,floral
cannonball tree blossom,1,white_floral
buckwheat honey,1,gourmand
cigarette smoke,1,tobacco
ecuadorian palo santo,1,other
philippine patchouli,1,woody
gandaria,1,other
zwerg-kalmus,1,other
salted butter,1,aquatic
raspberry water,1,fruity
la réunion vetiver,1,woody
saffiano,1,other
salvadorian tolu balm,1,other
almdudler,1,other
arbutus berry,1,fruity
green olive,1,green
nevenolide,1,other
pamplezest,1,other
quince sorbet,1,other
desert sage,1,herbal
yellow jasmine,1,white_floral
angelica flower,1,floral
rose syrup,1,floral
mediterranean mimosa,1,floral
mastic leaf,1,green
raspberry praliné,1,fruity
lemon cake,1,citrus
vanilla absolute orpur,1,gourmand
belgian angelica,1,herbal
parcel tape,1,other
maple sugar,1,gourmand
schisandra,1,other
rum ether,1,boozy
linalool,1,other
birch smoke,1,woody
violet leaf absolute orpur,1,floral
ivory coast bergamot,1,citrus
java lemon,1,citrus
brassavola nodosa,1,other
blue hydrangea,1,other
azerbaijan rose,1,floral
liquid air,1,other
butterfly bush,1,other
aquaflor,1,other
amberlyn,1,balsamic
cherry cake,1,fruity
sugar pine,1,woody
plywood,1,woody
lubricating,1,other
gotu kola,1,other
blackcurrant jam,1,fruity
apple syrup,1,fruity
flame tree,1,other
flame tree resin,1,balsamic
damascenone,1,other
arizona cypress,1,woody
pisco sour,1,other
california grapefruit,1,citrus
cady cane,1,other
melonal,1,fruity
sylvamber,1,balsamic
pineapple nectar,1,woody
ginger zest,1,boozy
spice bread,1,spicy
bourbon ylang-ylang,1,other
roberts geranium,1,floral
lentisk,1,other
osmanthus absolute orpur,1,other
coconut macaron,1,fruity
aurelione,1,other
graphite,1,other
white peach nectar,1,fruity
golden osmanthus,1,other
mandarine peel,1,citrus
green musk,1,musk
orbitone,1,other
guatemala coffee,1,gourmand
hawthorn honey,1,gourmand
cinnamon absolue,1,spicy
black peony,1,floral
saucer magnolia,1,white_floral
coconut palm,1,fruity
plum compote,1,fruity
cherry bud,1,fruity
oak moss resin,1,earthy
neroli orpur,1,citrus
kona coffee,1,gourmand
elm leaf,1,green
cork,1,other
cherry blossom scenttrek,1,white_floral
salted coconut,1,fruity
lychee liqueur,1,boozy
marco polo tea,1,tea
green wheat,1,green
peanut,1,gourmand
azerbaijani rose,1,floral
cherry tobacco,1,tobacco
camellia amplexicaulis,1,other
hawaiian cotton,1,other
ambrosia,1,other
berry syrup,1,fruity
patchouli root,1,woody
patchouli tea,1,woody
white clover,1,spicy
gowé,1,other
red mango,1,fruity
pinyon pine resin,1,woody
tonga sandalwood,1,woody
lemon mousse,1,citrus
catnip,1,other
boswellia papyrifera,1,other
mead,1,other
scotch whisky,1,boozy
limousin oak,1,other
bourbon whiskey barrel,1,other
sherry cask,1,other
tangerine peel,1,other
firsantol,1,other
blueberry muffin,1,fruity
plum sake,1,fruity
apple tobacco,1,tobacco
black cherry liquour,1,fruity
mandarin orange juice,1,citrus
lavender aldehyde,1,aldehydic
stems,1,green
berry sorbet,1,fruity
globalide,1,other
smoked ebony wood,1,woody
caramelized hazelnut,1,gourmand
bourbon pepper orpur,1,spicy
coco-grass,1,green
peach wine,1,boozy
peach tea,1,tea
rock moss,1,earthy
alpine lichen,1,woody
caramelized plum,1,fruity
savoury,1,other
saint germain pear,1,fruity
sardinian mastic,1,other
havana tobacco,1,tobacco
scots pine needle,1,woody
chinotto peel,1,other
beachgrass,1,green
coconut cake,1,fruity
palm blossom,1,white_floral
khola date,1,other
frosted jasmine,1,white_floral
mediterranean fruits,1,fruity
clary sage orpur,1,herbal
jasmine absolute orpur,1,white_floral
tonka bean absolute orpur,1,gourmand
alpine cyclamen,1,woody
peach liqueur,1,boozy
daffodil,1,other
yellow pear,1,fruity
geraniol,1,other
armenian woods,1,woody
scotch broom,1,other
pink passion fruit,1,fruity
pink watermelon,1,fruity
pomegranate caipirinha,1,other
watermelon blossom,1,white_floral
gustavia scenttrek,1,other
pistachio tree,1,other
grape pomace,1,fruity
majmua,1,other
citron blossom,1,white_floral
keemun tea,1,tea
lime petitgrain,1,citrus
celtic spikenard,1,other
florida bergamot,1,citrus
pepper tree leaf,1,spicy
chanterelle,1,other
poivrol,1,other
raspberry syrup,1,fruity
jasmine sambac absolute orpur,1,white_floral
veloutone,1,other
apricot liqueur,1,boozy
redcurrant jam,1,fruity
alpine herbs,1,woody
honduras tolu balm,1,other
pink osmanthus,1,other
balsam tree,1,balsamic
blossom honey,1,white_floral
orchid water,1,white_floral
petunia,1,other
sclarene,1,other
nebulone,1,other
excitol,1,other
red italian mandarin orange,1,citrus
pomegranate nectar,1,tobacco
rose nectar,1,floral
lebanese neroli,1,citrus
toast,1,other
tart,1,tobacco
pollen,1,other
orange liqueur,1,boozy
south african kumquat,1,other
undecavertol,1,other
safranal,1,other
galaxolid,1,other
coffee liqueur,1,boozy
candied bitter orange,1,citrus
guatemala tonka bean,1,gourmand
apricot wood,1,woody
grapefruit tree,1,citrus
linaloe wood,1,woody
candied pineapple,1,woody
ambranum,1,other
varnish,1,other
tonalid,1,other
starfleur 40,1,tobacco
coconut ice cream,1,fruity
ivory coast bitter orange,1,citrus
nard,1,other
sea buckthorn,1,aquatic
centaury,1,other
magnolia bark,1,white_floral
peach cream,1,fruity
white tulip,1,other
griotte syrup,1,other
georgia peach,1,fruity
burgundy blackcurrant,1,fruity
ivory coast lemon,1,citrus
eglantine rose leaf,1,floral
gardenia water,1,white_floral
blue tulip,1,other
bolivian pink pepper,1,spicy
sweet apple,1,fruity
kabosu,1,other
clover honey,1,spicy
wheat bran,1,other
crème caramel,1,gourmand
coca blossom,1,white_floral
medlar,1,other
guinea-bissau hibiscus,1,other
monodora myristica,1,other
silk tree flower,1,floral
jasmine rice,1,white_floral
provençal star jasmine,1,white_floral
blue agave,1,other
pepper orpur,1,spicy
north african neroli orpur,1,citrus
texas cedar orpur,1,woody
andalusian almond,1,gourmand
matcha powder,1,powdery
vegetables,1,other
provençal peach,1,fruity
green grape,1,fruity
crab apple blossom,1,white_floral
marine lichen,1,aquatic
apple soufflé,1,fruity
handroanthus impetiginosus,1,boozy
jacaranda leaf,1,green
acacia leaf,1,green
apricot leaf,1,fruity
philippine coconut,1,woody
palm sugar,1,gourmand
albanian narcissus,1,floral
radish,1,other
red osmanthus,1,other
strawberry aldehyde,1,aldehydic
sweetened condensed milk,1,gourmand
red date,1,other
fruit gum,1,fruity
apple mint,1,fruity
guayan passion flower,1,floral
teak wood,1,woody
norwegian cloudberry,1,woody
white oakmoss,1,earthy
black geranium,1,floral
mangrove wood,1,woody
plum syrup,1,fruity
arum blossom,1,boozy
la réunion rum,1,boozy
balsam poplar bud,1,balsamic
cocoa liqueur,1,boozy
cactus water,1,aquatic
tiramisone,1,other
scottish oak moss,1,earthy
crab apple,1,fruity
plum wine,1,boozy
musk absolue,1,musk
yew,1,other
white galbanum,1,green
lankan vetiver,1,woody
erythroxylum coca,1,other
rice straw,1,gourmand
oysterplant,1,other
curaçao bitter orange,1,citrus
vetyvalone,1,other
liquorice root,1,gourmand
andalusian orange,1,citrus
afghan neroli,1,citrus
petitgrain water,1,citrus
vetiver leaf,1,woody
ghanaian tonka bean,1,gourmand
rosemary verbenone,1,floral
meadow flowers,1,floral
pear water,1,fruity
espresso bean,1,other
oud resin,1,woody
champaca wood,1,woody
pemou root,1,other
american rosewood,1,woody
triplal,1,other
green tobacco,1,tobacco
paperwhite,1,other
bengali patchouli,1,woody
rwandan patchouli,1,woody
peanut husk,1,gourmand
virginia peanut,1,boozy
erika absolue,1,other
chaparral,1,other
denim,1,other
bolivian red chili,1,other
peppermint sorbet,1,spicy
green chili,1,green
pepper tree blossom,1,white_floral
pink tiger lily,1,white_floral
apple cider,1,fruity
tanzanian ginger,1,boozy
bengali pepper,1,spicy
hawaiian green mango,1,fruity
sunflower seed,1,floral
arctical,1,other
mandarin peel,1,citrus
queen-of-the-night scenttrek,1,other
caramel liqueur,1,boozy
blue amber,1,balsamic
cedar root,1,woody
red tulip,1,other
bursera,1,other
kyphi,1,other
silver poplar,1,other
peach sorbet,1,fruity
linden bud,1,other
mocha cream,1,gourmand
mojito mint,1,herbal
vanilla vodka,1,boozy
cake batter,1,other
oil,1,other
polished wood,1,woody
coconut nectar,1,fruity
transluzone,1,other
pear ester,1,fruity
yemenite amber,1,balsamic
plum sorbet,1,fruity
frankincense orpur,1,balsamic
rain forest,1,aquatic
blackberry liqueur,1,boozy
green orange zest,1,citrus
isobutyl quinoline,1,other
manuka honey,1,gourmand
white gallic rose,1,floral
champagne truffle,1,earthy
neapolitan maple,1,other
lemon blossom honey,1,white_floral
american lavender,1,floral
hamamelis,1,other
sea minerals,1,aquatic
button mushroom,1,earthy
yellow vetiver,1,woody
citrus plants,1,citrus
baihao yinzhen tea,1,tea
ecomusk,1,musk
sandalwood milk,1,woody
dominican tobacco,1,tobacco
asian lily,1,white_floral
wood splint,1,woody
guava leaf,1,fruity
balkans juniper berry,1,fruity
passion fruit puree,1,fruity
vanilla orpur,1,gourmand
crème noir,1,other
lactoscatone,1,other
peruan amber,1,balsamic
noble fir,1,other
south african orange,1,citrus
red clementine,1,other
south american heliotrope,1,other
scandinavian birch tar,1,woody
mauritian sugar cane,1,gourmand
virginia cedar leaf,1,woody
carrot leaf,1,green
soy milk,1,gourmand
mountain magnolia,1,white_floral
lemon thyme,1,citrus
sorrel,1,other
chestnut purée,1,gourmand
lime orpur,1,citrus
comorian ylang-ylang orpur,1,other
roasted coffee,1,gourmand
american grapefruit,1,citrus
chocolate truffle,1,earthy
elmleaf blackberry,1,fruity
south african marigold,1,other
hawaiian pomelo,1,other
jasmine lactone,1,white_floral
riesling,1,other
acetate,1,other
lemon cream,1,citrus
candied cherry,1,fruity
peach jam,1,fruity
alpine rock-jasmine,1,woody
belgian chocolate,1,gourmand
north african neroli,1,citrus
white cardamom,1,spicy
costmary,1,other
rooibos,1,other
balkan rose,1,floral
hexyl acetate,1,other
polynesian hibiscus,1,other
sandela,1,other
dark tobacco,1,tobacco
grey woods,1,woody
belladonna,1,other
isocyclocitral,1,other
jaffa orange,1,citrus
kharismal super,1,other
musk t,1,musk
mocaccino,1,other
sage blossom,1,white_floral
stone pine wood,1,woody
blueberry compote,1,fruity
lemon candy,1,citrus
red delicious apple,1,fruity
nutmeg orpur,1,spicy
andalusian orange blossom,1,white_floral
melon sorbet,1,fruity
dewfruit,1,fruity
wholemeal biscuit,1,other
yulan magnolia,1,white_floral
willow bark,1,other
robusta coffee,1,gourmand
amalfi orange blossom,1,white_floral
golden kiwi,1,other
american curly mint,1,herbal
karmawood,1,woody
sugar biscuit,1,gourmand
candied pear,1,fruity
white caramel,1,gourmand
centifolia,1,other
apricot jam,1,fruity
roasted pumpkin seed,1,other
brown musk,1,musk
gerbera,1,other
sweet granadilla,1,other
smyrna fig,1,fruity
candied cardamom,1,spicy
venetian raspberry,1,fruity
blossom nectar,1,white_floral
shisolia,1,other
taiwanese incense cedar,1,woody
poppy leaf,1,green
elm,1,other
yellow blossoms,1,white_floral
mulanje cedarwood scenttrek,1,woody
mcintosh apple,1,fruity
pink poppy,1,other
salted popcorn,1,aquatic
pandanus leaf,1,green
white hibiscus,1,other
elderflower sorbet,1,floral
trisamber,1,balsamic
white fern,1,green
paradise nut,1,gourmand
cade,1,other
philippine ylang-ylang,1,woody
mandarine blossom water,1,white_floral
christalon,1,other
burnt vetiver,1,woody
cypriote mandora,1,other
bamboo water,1,aquatic
yellow hibiscus,1,other
hazelnut milk,1,gourmand
serbian oakmoss,1,earthy
helianthemum,1,other
red fruits sorbet,1,fruity
hassaku orange,1,citrus
gentiana scabra,1,other
moso bamboo,1,other
