alias,canonical_slug,canonical_name_en,frequency
caribbean vetiver,vetiver,vetiver,1
himalayan vetiver,vetiver,vetiver,1
violet absolute,violet,violet,20
african violet,violet,violet,9
french violet,violet,violet,6
egyptian violet,violet,violet,5
italian violet,violet,violet,3
grasse violet,violet,violet,1
violet leaf absolute,violet-leaf,violet leaf,65
egyptian violet leaf absolute,violet-leaf,violet leaf,9
egyptian violet leaf,violet-leaf,violet leaf,4
italian violet leaf,violet-leaf,violet leaf,2
french violet leaf,violet-leaf,violet leaf,2
grasse violet leaf,violet-leaf,violet leaf,2
french violet leaf absolute,violet-leaf,violet leaf,1
moroccan violet leaf,violet-leaf,violet leaf,1
whisky co2,whisky,whisky,1
irish white ambergris,white-ambergris,white ambergris,4
white cedarwood,white-cedar,white cedar,68
chinese white cedar,white-cedar,white cedar,2
canadian white cedar,white-cedar,white cedar,2
tuscan white iris,white-iris,white iris,1
egyptian white lotus,white-lotus,white lotus,2
thai white lotus,white-lotus,white lotus,1
indian white pepper absolute,white-pepper,white pepper,2
white pepper absolute,white-pepper,white pepper,1
white rose absolute,white-rose,white rose,5
white rose otto,white-rose,white rose,4
bulgarian white rose otto,white-rose,white rose,1
indonesian white rose,white-rose,white rose,1
chinese white tea,white-tea,white tea,1
spanish white thyme,white-thyme,white thyme,1
japanese wisteria,wisteria,wisteria,1
artemisia,wormwood,wormwood,355
absinth,wormwood,wormwood,129
absinthe wormwood,wormwood,wormwood,28
moroccan artemisia,wormwood,wormwood,5
greek artemisia,wormwood,wormwood,1
moroccan wormwood,wormwood,wormwood,1
roman wormwood,wormwood,wormwood,1
madagascan ylang-ylang,ylang-ylang,ylang-ylang,42
ylang-ylang absolute,ylang-ylang,ylang-ylang,10
thai ylang-ylang,ylang-ylang,ylang-ylang,4
indonesian ylang-ylang,ylang-ylang,ylang-ylang,4
caribbean ylang-ylang,ylang-ylang,ylang-ylang,2
madagascan ylang-ylang absolute,ylang-ylang,ylang-ylang,1
tahitian ylang-ylang,ylang-ylang,ylang-ylang,1
malayan ylang-ylang,ylang-ylang,ylang-ylang,1
japanese yuzu,yuzu,yuzu,18
korean yuzu,yuzu,yuzu,2
